Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class
3600,0.0029,0.51,8.69,0,Red,M
3129,0.0122,0.3761,11.79,0,Red,M
3068,0.0024,0.17,16.12,0,Red,M
3042,0.0005,0.1542,15.6,0,Red,M
3134,0.0004,0.196,13.21,0,Red,M
2600,0.0003,0.102,18.7,0,Red,M
2800,0.0002,0.16,16.65,0,Red,M
3628,0.0055,0.393,10.48,0,Red,M
2650,0.0006,0.14,11.782,0,Red,M
1939,0.000138,0.103,20.06,0,Red,M
25000,0.056,0.0084,11.18,1,Blue White,B
7740,0.00049,0.01234,13.02,1,White,A
6220,0.00017,0.011,14.23,1,White,F
8500,0.0005,0.01,11.5,1,White,A
16500,0.013,0.014,11.2,1,Blue White,B
5590,0.000085,0.00984,15.23,1,Yellowish White,F
8570,0.00081,0.0097,13.2,1,Blue white,A
5700,0.00011,0.0128,14.47,1,Yellowish White,F
5790,0.00015,0.011,14.59,1,Yellowish White,F
5030,0.00008,0.013,15.08,1,Pale yellow orange,F
3826,200000,19,-6.93,2,Red,M
3365,340000,23,-6.2,2,Red,M
3270,150000,88,-6.02,2,Red,M
3200,195000,17,-7.42,2,Red,M
3008,280000,25,-6,2,Red,M
3600,320000,29,-6.6,2,Red,M
3575,123000,45,-6.78,2,Red,M
3574,200000,89,-5.24,2,Red,M
3625,184000,84,-6.74,2,Red,M
33750,220000,26,-6.1,2,Blue,B
3490,270000,1520,-9.4,3,Red,M
3750,283000,1260,-7.63,3,Red,M
3834,272000,1183,-9.2,3,Red,M
3749,550000,1648,-8.05,3,Orange,M
3650,310000,1324,-7.57,3,Red,M
3450,263000,1349,-11.75,3,Red,M
3660,363000,1673,-11.92,3,Red,M
3450,174000,1284,-11.28,3,Red,M
3752,209000,955,-11.24,3,Red,M
3535,195000,1546,-11.36,3,Red,M
3340,0.0038,0.24,13.07,0,Red,M
2799,0.0018,0.16,14.79,0,Red,M
3692,0.00367,0.47,9.8,0,Red,M
3192,0.00362,0.1967,13.53,0,Red,M
3441,0.039,0.351,11.18,0,Red,M
3345,0.021,0.273,12.3,0,Red,M
3607,0.022,0.38,10.12,0,Red,M
3304,0.0085,0.18,13.2,0,Red,M
2840,0.00065,0.11,16.98,0,Red,M
3150,0.0088,0.35,11.94,0,Red,M
6100,0.00029,0.012,12.09,1,White-Yellow,F
5574,0.00014,0.0092,13.02,1,White,F
8930,0.00056,0.0095,11.78,1,white,A
17200,0.00098,0.015,14.45,1,Blue White,B
14100,0.00067,0.0089,15.23,1,Blue White,B
9675,0.00045,0.0109,10.98,1,Blue White,A
12010,0.00078,0.0092,12.13,1,Blue White,B
10980,0.00074,0.0087,11.19,1,Blue White,B
6720,0.00018,0.00892,10.67,1,white,F
19860,0.0011,0.0131,14.34,1,Blue ,B
33300,240000,12,-6.5,2,Blue,B
40000,813000,14,-6.23,2,Blue,O
23000,127000,36,-5.76,2,Blue,O
17120,235000,83,-6.89,2,Blue,O
11096,112000,12,-5.11,2,Blue,O
14245,231000,42,-6.12,2,Blue,O
24630,363000,63,-5.33,2,Blue,O
12893,184000,36,-6.34,2,Blue,O
24345,142000,57,-6.24,2,Blue,O
33421,352000,67,-5.49,2,Blue,O
3459,100000,1289,-10.7,3,Red,M
3605,126000,1124,-10.81,3,Red,M
3615,200000,1635,-11.33,3,Red,M
3399,117000,1486,-10.92,3,Red,M
3610,132000,1522,-10.86,3,Red,M
3553,145000,1324,-11.03,3,Red,M
4015,282000,1534,-11.39,3,Red,K
3625,74000,876,-10.25,3,Red,M
6850,229000,1467,-10.07,3,Red,G
3780,200000,1324,-10.7,3,Red,M
3550,0.004,0.291,10.89,0,Red,M
2637,0.00073,0.127,17.22,0,Red,M
2600,0.0004,0.096,17.4,0,Red,M
3180,0.001,0.35,11.76,0,Red,M
2890,0.0034,0.24,13.46,0,Red,M
3342,0.0015,0.307,11.87,0,Red,M
2621,0.0006,0.098,12.81,0,Red,M
3158,0.00135,0.161,13.98,0,Red,M
3095,0.00019,0.492,10.87,0,Red,M
2650,0.00069,0.11,17.45,0,Red,M
13420,0.00059,0.00981,14.67,1,Blue White,B
21020,0.0015,0.0112,12.52,1,Blue,B
18290,0.0013,0.00934,12.78,1,Blue,B
14520,0.00082,0.00972,11.92,1,Blue White,B
11900,0.00067,0.00898,10.38,1,Blue white ,B
8924,0.00028,0.00879,14.87,1,Blue white,A
12912,0.00071,0.00945,12.83,1,Blue white,B
6732,0.00011,0.00892,15.89,1,white,F
7723,0.00014,0.00878,14.81,1,White,A
12984,0.00088,0.00996,13.23,1,Blue White,B
25390,223000,57,-5.92,2,Blue,O
11567,251000,36,-6.245,2,Blue,O
12675,452000,83,-5.62,2,Blue,O
5752,245000,97,-6.63,2,Blue,O
8927,239000,35,-7.34,2,Blue,O
7282,131000,24,-7.22,2,Blue,O
19923,152000,73,-5.09,2,Blue,O
26373,198000,39,-5.13,2,Blue,O
17383,342900,30,-6.09,2,Blue,O
9373,424520,24,-5.99,2,Blue,O
3570,320000,1480,-7.5,3,Red,M
3500,138000,1420,-8.18,3,Red,M
4287,630000,1315,-9.2,3,Orange,K
26000,316000,1679,-9.1,3,Blue,B
3600,240000,1190,-7.89,3,Red,M
3614,145000,1553,-7.71,3,Red,M
18000,200000,1045,-8.3,3,Blue,O
11000,170000,1779,-9.9,3,Blue-white,B
12100,120000,708.9,-7.84,3,Blue-white,B
24490,248490,1134.5,-8.24,3,Blue-white,B
3607,0.00023,0.38,10.34,0,Red,M
2700,0.00018,0.13,16.05,0,Red,M
3100,0.008,0.31,11.17,0,Red,M
2989,0.0087,0.34,13.12,0,Red,M
3341,0.0056,0.57,16.23,0,Red,M
3542,0.0009,0.62,14.23,0,Red,M
3243,0.0023,0.73,14.75,0,Red,M
3091,0.0081,0.24,11.43,0,Red,M
3432,0.0067,0.19,15.34,0,Red,M
3598,0.0011,0.56,14.26,0,Red,M
16790,0.0014,0.0121,14.87,1,Blue,B
15680,0.00122,0.0114,13.92,1,Blue,B
14982,0.00118,0.0113,12.23,1,Blue,B
13340,0.00109,0.0116,14.9,1,Blue,B
18340,0.00134,0.0124,13.22,1,Blue,B
19920,0.00156,0.0142,11.34,1,Blue,B
24020,0.00159,0.0127,12.95,1,Blue,B
23092,0.00132,0.0104,13.18,1,Blue,B
17920,0.00111,0.0106,12.66,1,Blue,B
19360,0.00125,0.00998,15.07,1,Blue,B
23678,244290,35,-6.27,2,Blue,O
12749,332520,76,-7.02,2,Blue,O
9383,342940,98,-6.98,2,Blue,O
23440,537430,81,-5.675,2,Blue,O
16787,246730,62,-6.35,2,Blue,O
18734,224780,46,-7.45,2,Blue,O
9892,593900,80,-7.26,2,Blue,O
10930,783930,25,-6.224,2,Blue,O
23095,347820,86,-5.905,2,Blue,O
21738,748890,92,-7.346,2,Blue,O
24145,382993,1494,-8.84,3,Blue-white,B
38234,272830,1356,-9.29,3,Blue,O
32489,648430,1948.5,-10.84,3,Blue,O
27739,849420,1252,-7.59,3,Blue-white,B
21904,748490,1130,-7.67,3,Blue-white,B
38940,374830,1356,-9.93,3,Blue,O
30839,834042,1194,-10.63,3,Blue,O
8829,537493,1423,-10.73,3,White,A
9235,404940,1112,-11.23,3,White,A
37882,294903,1783,-7.8,3,Blue,O
